Summary Examination Timetable
Season : Domestic Season 2023
Export Date : 20/11/2023

Date,Start Time,Room,Board,Qualification,Component Code,Component Title,Length,Number of Candidates
27/11/2023, 8:45AM,Computing Lab 4 1023,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",132,10
27/11/2023, 8:45AM,H&S Development Base G019,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",132,9
27/11/2023, 8:45AM,H&S Learning Base G018,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",132,11
27/11/2023, 8:45AM,Multi Purpose Hall 2028,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",105,66
27/11/2023, 8:45AM,Outside Area,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",132,1
27/11/2023, 8:45AM,Science Lab 1 3003,DOM,GCSE,LANGP1,"GCSE  English Language Paper 1",132,3
27/11/2023,12:45PM,H&S Development Base G019,DOM,GCSE,SOCP1,"Y11 Sociology Paper 1",113,1
27/11/2023,12:45PM,H&S Development Base G019,DOM,GCSE,ECONP1,"Y11  Economics Paper 1",90,2
27/11/2023,12:45PM,H&S Learning Base G018,DOM,GCSE,SOCP1,"Y11 Sociology Paper 1",90,1
27/11/2023,12:45PM,H&S Learning Base G018,DOM,GCSE,ECONP1,"Y11  Economics Paper 1",113,6
27/11/2023,12:45PM,Multi Purpose Hall 2028,DOM,GCSE,ECONP1,"Y11  Economics Paper 1",90,15
27/11/2023,12:50PM,H&S Development Base G019,DOM,CAMX,HSOC,"Y13 Technical Health & Social Care Unit 6",113,8
27/11/2023,12:50PM,H&S Learning Base G018,DOM,CAMX,HSOC,"Y13 Technical Health & Social Care Unit 6",90,1
27/11/2023,12:50PM,H&S Learning Base G018,DOM,CAMX,TCSPT,"Y13 Sport Unit 21",90,2
27/11/2023,12:50PM,Multi Purpose Hall 2028,DOM,CAMX,HSOC,"Y13 Technical Health & Social Care Unit 6",90,30
27/11/2023,12:50PM,Multi Purpose Hall 2028,DOM,CAMX,TCSPT,"Y13 Sport Unit 21",90,3
27/11/2023, 1:30PM,Multi Purpose Hall 2028,DOM,GCSE,SOCP1,"Y11 Sociology Paper 1",90,13
28/11/2023, 8:45AM,Computing Lab 4 1023,DOM,GCSE,TRIBIFO,"GCSE Biology Triple Foundation Paper 1",132,8
28/11/2023, 8:45AM,Computing Lab 4 1023,DOM,GCSE,TRIBIHIG,"GCSE Biology Triple Higher Paper 1",132,2
28/11/2023, 8:45AM,H&S Development Base G019,DOM,GCSE,TRIBIFO,"GCSE Biology Triple Foundation Paper 1",105,6
28/11/2023, 8:45AM,H&S Development Base G019,DOM,GCSE,TRIBIHIG,"GCSE Biology Triple Higher Paper 1",132,3
28/11/2023, 8:45AM,H&S Learning Base G018,DOM,GCSE,TRIBIHIG,"GCSE Biology Triple Higher Paper 1",132,10
