Summary Examination Timetable
Season : Summer 2023
Export Date : 26/04/2023

Date,Start Time,Room,Board,Qualification,Component Code,Component Title,Length,Number of Candidates
15/05/2023, 9:00AM,Multi Purpose Hall 2028,OCR,GCE,H020/01,"Biology A: Breadth in Biology Wrtn",90,1
15/05/2023, 9:00AM,Multi Purpose Hall 2028,RSA,CAMX,584201,"DI3IT : U1 Fundamentals of IT",90,10
15/05/2023, 1:30PM,Creative Space,EDEXL/GCE,GCE,8FM0 01,"Core Pure Mathematics",100,1
16/05/2023, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,4
16/05/2023, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",132,1
16/05/2023, 9:00AM,Computing Lab 4 1023,OCR,GCE,H032/01,"Chemistry A: Breadth in Chemistry Wtn",113,1
16/05/2023, 9:00AM,H&S Development Base G019,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",105,5
16/05/2023, 9:00AM,H&S Development Base G019,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",105,4
16/05/2023, 9:00AM,H&S Learning Base G018,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,9
16/05/2023, 9:00AM,H&S Learning Base G018,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",132,1
16/05/2023, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",105,36
16/05/2023, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",105,31
16/05/2023, 9:00AM,Multi Purpose Hall 2028,OCR,GCE,H032/01,"Chemistry A: Breadth in Chemistry Wtn",90,1
16/05/2023, 9:00AM,Outside Area,OCR,GCSE,J250/07,"Comb Sci A: Paper 7 (Hgh) Wrtn",70,1
16/05/2023, 9:00AM,Science Lab 4,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,3
16/05/2023, 1:30PM,H&S Learning Base G018,RSA,CAMX,583302,"DI3HSC: U2 Equality Diversity & Rights",113,1
16/05/2023, 1:30PM,H&S Learning Base G018,RSA,CAMX,587102,"ED3HSC: U2 Equality Diversity & Rights",113,5
16/05/2023, 1:30PM,Multi Purpose Hall 2028,RSA,CAMX,583102,"EC3HSC: U2 Equality Diversity & Rights",90,6
16/05/2023, 1:30PM,Multi Purpose Hall 2028,RSA,CAMX,583302,"DI3HSC: U2 Equality Diversity & Rights",90,10
16/05/2023, 1:30PM,Multi Purpose Hall 2028,RSA,CAMX,587102,"ED3HSC: U2 Equality Diversity & Rights",90,18
17/05/2023, 9:00AM,Computing Lab 4 1023,AQA,GCSE,8702/1,"English Literature Paper 1",132,5
17/05/2023, 9:00AM,H&S Development Base G019,AQA,GCSE,8702/1,"English Literature Paper 1",132,11
17/05/2023, 9:00AM,H&S Learning Base G018,AQA,GCSE,8702/1,"English Literature Paper 1",105,9
17/05/2023, 9:00AM,Multi Purpose Hall 2028,OCR,GCE,H156/01,"Physics A: Breadth in Physics Wrtn",90,4
17/05/2023, 9:00AM,Multi Purpose Hall 2028,AQA,GCSE,8702/1,"English Literature Paper 1",105,65
17/05/2023, 9:00AM,Outside Area,AQA,GCSE,8702/1,"English Literature Paper 1",105,1
