Summary Examination Timetable
Season : Summer 2024
Export Date : 24/04/2024

Date,Start Time,Room,Board,Qualification,Component Code,Component Title,Length,Number of Candidates
10/05/2024, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,6
10/05/2024, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",88,3
10/05/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",105,7
10/05/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",132,3
10/05/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",70,4
10/05/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,5
10/05/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",132,2
10/05/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",88,2
10/05/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",105,28
10/05/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J247/03,"Biology A (Gtway) : Paper 3 (Hgh) Wtn",105,22
10/05/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",70,11
10/05/2024, 9:00AM,Outside Area,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",105,1
10/05/2024, 9:00AM,Outside Area,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",70,1
10/05/2024, 9:00AM,Science Lab 1 3003,OCR,GCSE,J247/01,"Biology A (Gtway) : Paper 1 (Fnd) Wtn",132,1
10/05/2024, 9:00AM,Science Lab 1 3003,OCR,GCSE,J250/01,"Comb Sci A: Paper 1 (Fnd) Wrtn",88,2
10/05/2024, 1:00PM,H&S Development Base G019,AQA,GCSE,8192/1,"Sociology Paper 1",105,3
10/05/2024, 1:00PM,H&S Learning Base G018,AQA,GCSE,8192/1,"Sociology Paper 1",132,1
