Summary Examination Timetable
Date Range : 06/06/2024-20/07/2024
Export Date : 06/06/2024

Date,Start Time,Room,Board,Qualification,Component Code,Component Title,Length,Number of Candidates
10/06/2024, 9:00AM,Computing Lab 4 1023,OCR,GCE,H432/01,"Chem A: Prdc Tble Elmnt Phy Chm Wtn",169,1
10/06/2024, 9:00AM,Computing Lab 4 1023,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",113,7
10/06/2024, 9:00AM,Computing Lab 4 1023,EDEXL/GCSE,GCSE,1MA1 3H,"Calculator (H) ",113,2
10/06/2024, 9:00AM,H&S Development Base G019,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",90,12
10/06/2024, 9:00AM,H&S Development Base G019,EDEXL/GCSE,GCSE,1MA1 3H,"Calculator (H) ",90,3
10/06/2024, 9:00AM,H&S Learning Base G018,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",113,4
10/06/2024, 9:00AM,H&S Learning Base G018,EDEXL/GCSE,GCSE,1MA1 3H,"Calculator (H) ",113,5
10/06/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCE,H432/01,"Chem A: Prdc Tble Elmnt Phy Chm Wtn",135,3
10/06/2024, 9:00AM,Multi Purpose Hall 2028,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",90,34
10/06/2024, 9:00AM,Multi Purpose Hall 2028,EDEXL/GCSE,GCSE,1MA1 3H,"Calculator (H) ",90,41
10/06/2024, 9:00AM,Outside Area,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",90,2
10/06/2024, 9:00AM,Science Lab 1 3003,EDEXL/GCSE,GCSE,1MA1 3F,"Calculator (F) ",113,2
10/06/2024, 9:00AM,Science Lab 1 3003,EDEXL/GCSE,GCSE,1MA1 3H,"Calculator (H) ",113,2
10/06/2024, 1:00PM,Multi Purpose Hall 2028,OCR,GCE,H446/01,"Comp Sci: Computer Systems Wrtn",150,8
11/06/2024, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",132,6
11/06/2024, 9:00AM,Computing Lab 4 1023,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",88,3
11/06/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",105,7
11/06/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J248/04,"Chem A (Gtwy Sci) : Paper 4 (Hgh) Wtn",132,3
11/06/2024, 9:00AM,H&S Development Base G019,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",70,4
11/06/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",132,6
11/06/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J248/04,"Chem A (Gtwy Sci) : Paper 4 (Hgh) Wtn",132,1
11/06/2024, 9:00AM,H&S Learning Base G018,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",88,2
11/06/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",105,29
11/06/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J248/04,"Chem A (Gtwy Sci) : Paper 4 (Hgh) Wtn",105,21
11/06/2024, 9:00AM,Multi Purpose Hall 2028,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",70,11
11/06/2024, 9:00AM,Outside Area,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",105,1
11/06/2024, 9:00AM,Outside Area,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",70,1
11/06/2024, 9:00AM,Science Lab 1 3003,OCR,GCSE,J248/02,"Chem A (Gtwy Sci) : Paper 2 (Fnd) Wtn",132,1
11/06/2024, 9:00AM,Science Lab 1 3003,OCR,GCSE,J250/04,"Comb Sci A: Paper 4 (Fnd) Wrtn",88,2
11/06/2024, 1:00PM,H&S Development Base G019,EDEXL/GCE,GCE,9MA0 02,"Pure Mathematics 2",150,2
11/06/2024, 1:00PM,Multi Purpose Hall 2028,EDEXL/GCE,GCE,9MA0 02,"Pure Mathematics 2",120,7
12/06/2024, 8:45AM,Computing Lab 4 1023,DOM,GCSE,MATFOU,"Maths Foundation Tier Paper 1",90,2
12/06/2024, 8:45AM,Computing Lab 4 1023,DOM,GCSE,MATHI,"Maths Higher Tier Paper 1",90,1
12/06/2024, 8:45AM,H&S Development Base G019,DOM,GCSE,MATHI,"Maths Higher Tier Paper 1",90,3
12/06/2024, 8:45AM,H&S Learning Base G018,DOM,GCSE,MATFOU,"Maths Foundation Tier Paper 1",90,7
12/06/2024, 8:45AM,H&S Learning Base G018,DOM,GCSE,MATHI,"Maths Higher Tier Paper 1",90,2
12/06/2024, 8:45AM,Multi Purpose Hall 2028,DOM,GCSE,MATFOU,"Maths Foundation Tier Paper 1",90,43
12/06/2024, 8:45AM,Multi Purpose Hall 2028,DOM,GCSE,MATHI,"Maths Higher Tier Paper 1",90,40
12/06/2024, 8:45AM,Science Lab 1 3003,DOM,GCSE,MATFOU,"Maths Foundation Tier Paper 1",90,3
12/06/2024, 8:45AM,Computing Lab 4 1023,DOM,GCE,Y12P1,"Year 12 Maths",113,1
12/06/2024, 8:45AM,H&S Development Base G019,DOM,GCE,Y12P1,"Year12 Maths",90,15
12/06/2024, 1:00PM,Multi Purpose Hall 2028,EDEXL/GCE,GCE,9AA0 03,"Listening, Reading, Writing",135,1
12/06/2024, 1:00PM,Outside Area,EDEXL/GCSE,GCSE,1PG0 1H,"Listening (H) ",57,1
12/06/2024, 1:50PM,Computing Lab 4 1023,DOM,GCSE,BIOFound,"Biology Combined Higher  Tier",70,3
12/06/2024, 1:50PM,H&S Development Base G019,DOM,GCSE,BIOFound,"Biology Combined Higher  Tier",70,13
